,ID,Name in English,Name in French,Name in Spanish,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Sources,Latitude,Longitude,Description of the location,Germany,Denmark,Netherlands,Poland,Belarus,Latvia,Lithuania,Russian Federation,Italy,Albania,Austria,Bosnia and Herzegovina,Bulgaria,Croatia,Estonia,Finland,France,Greece,Hungary,The former Yugoslav Republic of Macedonia,Romania,United Kingdom of Great Britain and Northern Ireland,Slovakia,Slovenia,Switzerland,Czech Republic,Turkey,Ukraine,Serbia,Belgium,India,Bolivia (Plurinational State of),Chile,Azerbaijan,Myanmar,Bangladesh,Spain,Georgia,Iran (Islamic Republic of),Pakistan,Colombia,Iraq,Israel,Jordan,Syrian Arab Republic,Armenia,China,Kyrgyzstan,Mongolia,Lebanon,Bhutan,Republic of Moldova,Oman,Kenya,Tajikistan,Lao People's Democratic Republic,Ireland,Kazakhstan,Argentina,Brazil,Norway,Guyana,Ethiopia,Uzbekistan,Central African Republic,Democratic Republic of the Congo,Micronesia (Federated States of),Cameroon,Congo,Gabon,Ecuador,Canada,French Guiana (France),Cambodia,Guinea-Bissau,Guinea,El Salvador,Liechtenstein,Egypt,Libyan Arab Jamahiriya,Palestine,Algeria,Morocco,Luxembourg,Sweden
10,1565,Kumaoni,kumaoni,cumaun,"India, Nepal","IND, NPL",kfy,Vulnerable,Kumauni; Kamaoni; Kumau; Kumawani; Kumgoni,,2003783.0,,29.4778,79.8486,"Uttarakhand, also in Uttar Pradesh, Madhya Pradesh, Assam and Bihar; also in Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,755,Aymara,aymara,aymara,"Bolivia (Plurinational State of), Chile, Peru","BOL, CHL, PER","ayc, ayr",Vulnerable,"Aimara, Jaqi Aru, Southern Aymara.",,2000000.0,www.inei.gob.pe para  aymara en el Per (Censo de 2007).,-16.5835,-68.30199999999999,"Departamentos  de Puno,  Moquegua y Tacna, en el Per. Area del lago Titicaca, donde se  incluye tambin el Altiplano boliviano.
In Bolivia: departments of La Paz, Oruro, Potos and Cochabamba.
In Chile: Province of Tarapac (interior of Arica, Iquique).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,349,Emilian-Romagnol,milien-romagnol,emiliano,"Italy, San Marino","ITA, SMR",eml,Definitely endangered,,,2000000.0,,44.126999999999995,12.0739,"the region of Emilia-Romagna, parts of the provinces of Pavia, Voghera, and Mantua in southern Lombardy, the Lunigiana district in northwestern Tuscany, the Pesaro-Urbino province in the region of Marche and the Republic of San Marino",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,399,Piedmontese,pimontais,piamonts,Italy,ITA,pms,Definitely endangered,,,2000000.0,,45.2013,7.8662,"Piedmont Region except the Novara Province, the western Alpine valleys and southern border areas, as well as minor adjacent areas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1021,Venetan,vnitien,veneciano,"Croatia, Italy, Slovenia","HRV, ITA, SVN",vec,Vulnerable,,,2000000.0,http://www.elgalepin.com/,45.4601,12.1948,"Veneto region, parts of Friuli-Venezia Giulia, Italy; Istria in both Slovenia and Croatia",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1985,Zazaki,zazaki,zaza,Turkey,TUR,zza,Vulnerable,Zaza; Dimli; Kirmanjki,,2000000.0,"Ludwig Paul: Zazaki: Grammatik und Versuch einer Dialektologie. Beitrge zur Iranistik 18; Wiesbaden: Reichert, 1998.
http://www.ethnologue.com/show_language.asp?code=zza
http://www.zazaki.de/englisch/index.htm

",38.8824,40.4846,"Tunceli, Erzincan, Elazõ_ and Bingl provinces, Hõnõs district of Erzurum Province, the eastern parts of Sivas Province, Varto district of Mu_ Province, Sarõz district of Kayseri Province, the northern and western parts of Diyarbakõr Province, Siverek district of _anlõurfa Province as well as small areas in adjacent provinces. Many immigrants in Europe.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1591,Kurux (India),kurux (Inde),kuruj (India),India,IND,kru,Vulnerable,Kurukh; Oraon,,1751489.0,,22.1467,85.2758,Jharkhand and Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2065,Tamajeq,tamajeq,tamacheq tahoua,Niger,NER,thz,Vulnerable,,,1750000.0,"Tuareg organisations (eg Temoust, Lyon see websites)
Data presented numerous times at UN Commission / Council for Human Rights",17.2352,8.0859,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1585,Tulu,tulu,tul,India,IND,tcy,Vulnerable,"Tuluva Bhasa; Tullu; Thulu; Tal; Tilu; Thalu
",,1722768.0,,12.0178,75.7067,"Karnataka, Andhra Pradesh, Kerala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1556,Kangdi,Kangdi,kangdi,India,IND,xnr,Definitely endangered,Dogaryali; Dogri Pahari;  Tokkaru; Dogri-Kangra; Bhatbali; Bhatbali; East Dogri; Kangri; Kangra,,1700000.0,,32.4356,76.1242,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,410,Scots,scots,escocs,United Kingdom of Great Britain and Northern Ireland,GBR,sco,Vulnerable,Lallans; Northumbrian (local name in England),,1500000.0,,56.2189,-3.7683,Lowland Scotland and adjacent parts of England; migr communities in Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1026,Torlak,torlak,torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","ALB, BGR, MKD, ROU, SRB","bos, hrv, srp",Vulnerable,"Shop; dialects: Goran, Janjev, Krashovan",,1500000.0,,42.9644,22.1374,"the core area: south-eastern Serbia, the westernmost parts of Bulgaria, the north-eastern region of the FYROM and, at least until recently, parts of southern Kosovo (Serbia); Goran: the border region of Kosovo, Albania and the FYROM; Janjev: south-eastern Kosovo (Serbia), from where most speakers have emigrated to Croatia; Krashovan: the region of Cara_ova in Cara_-Severin County in the Romanian Banat",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1476,West Flemish,flamand occidental,flamenco occidental,"Belgium, France, Netherlands","BEL, FRA, NLD","vls, zea",Vulnerable,Western Flemish; Zeelandic (Zeuws),,1500000.0,"Devos, M.& Vandekerckhove, R. (2006). Taal in stad en land WEST-VLAAMS, Lannoo, 170 pp.
Streektaal.net http://taal.phileon.nl/index.php
",51.0275,3.0541,"the province of Zealand, the Netherlands; West Flanders, Belgium; and French Flanders, where definitively if not severely endangered",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,334,Bashkir,bachkir,baskir,Russian Federation,RUS,bak,Vulnerable,Bashkort,,1379727.0,"_. _. _______: __________ ____. Ñ _____ ____: ________ _____. ______: ______, 1997. 206Ð216.",54.7309,55.9863,the Republic of Bashkortostan and adjacent regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1067,Chechen,tchtchne,checheno,Russian Federation,RUS,che,Vulnerable,,,1331844.0,,43.1971,45.7031,the Republic of Chechenia and adjacent regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,338,Chuvash,tchouvache,chuvacho,Russian Federation,RUS,chv,Vulnerable,,,1325382.0,"_. _. _______: _________ ____. Ñ _____ ____: ________ _____. ______: ______, 1997. 480Ð491.",56.1394,47.2412,Chuvash Republic and adjacent regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1227,Meithei,meitei,mitei,India,IND,mni,Vulnerable,"Manipuri, Meitei",,1250000.0,,24.7667,93.8946,"Manipur (throughout, but concentrated in the Manipur valley)
 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1114,Tamang,tamang,tamang,"India, Nepal","IND, NPL","taj, tge, tmk, tsf, tdg",Vulnerable,_____; _______; Murmi (obsolete),,1196639.0,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Kln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",27.7365,85.6858,"Dispersed throughout central and eastern hills of Nepal. B_gmat_, N_r_ya__ and Janakpur zones, in K_bhrep_lacok, Makv_npur, SIndhup_lcok, Nuv_ko_, Dh_di_, Sindhul_, R_mech_p, Bagmat_, Dolakh_ and Rasuv_ districts. Also found in India (Sikkim).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1013,Quechua of Cuzco,quechua de Cuzco,quechua cuzqueo,Peru,PER,quz,Vulnerable,Quechua Cuzco-Collao,,1115000.0,,-13.4537,-72.0098,"Cuzco, partes de  Arequipa, Puno, Apurmac (Abancay), Moquegua (Ubinas).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1024,Eastern Slovak,slovaque oriental,eslovaco oriental,"Slovakia, Ukraine","SVK, UKR",slk,Vulnerable,,,1000000.0,"Aleksandr D. Duli_enko: Ostslowakisch. Ñ Lexikon der Sprachen des europischen Ostens. Herausgegeben von Milo_ Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopdie des europischen Ostens 10; Klagenfurt: Wieser, 2002. 355Ð358.",48.8068,21.7968,"Spi_, _ari_, Zempln and Abov regions in eastern Slovakia; a regional language not recognized by the SIL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,377,Ligurian,ligurien,ligur,"France, Italy, Monaco","FRA, ITA, MCO",lij,Definitely endangered,Mongasque (dialect),,1000000.0,,44.5748,8.7011,"Liguria and adjacent areas of Piedmont, Emilia and Tuscany, Italy; the villages of Tende, La Brigue, Fontan, Saorge, Breil-sur-Roya in the eastern corner of the department of Alpes-Maritimes, France; settlements in the towns of Carloforte on the San Pietro island and Calasetta on the SantÕAntioco island off the southwest coast of Sardinia, Italy, as well as in the town of Bonifacio in Corsica; until the twentieth century also Monaco, where Ligurian is still used and studied as a second language, and the villages of Biot, Vallauris, Mons and Escragnoles in the department of Alpes-Maritimes, France",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,407,Rusyn,ruthne,rutenio,"Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR",rue,Vulnerable,"Ruthenian, Carpatho-Rusyn. Dialects: Lemko (Lemke), Boyko, Hutzulian",,1000000.0,"__________ ____. Redaktor naukowy Paul Robert Magocsi. Opole: Uniwersytet Opolski, Instytut Filologii Polskej, 2004. || Marc Stegherr: Rusinisch. Ñ Lexikon der Sprachen des europischen Ostens. Herausgegeben von Milo_ Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopdie des europischen Ostens 10; Klagenfurt: Wieser, 2002. 399Ð408. || Encyclopedia of Rusyn history and culture. Paul Robert Magocsi and Ivan Pop, editors. Toronto: University of Toronto Press, 2002.",48.4437,22.9394,Trans-Carpathian region of Ukraine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1515,Talysh,talysh,talis,"Azerbaijan, Iran (Islamic Republic of)","AZE, IRN",tly,Vulnerable,,,1000000.0,,38.814,48.6804,"the northern regions of Gilan and Ardabil provinces, Iran; the southernmost parts of Azerbaijan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1577,Kui,kui,kui,India,IND,kxu,Vulnerable,"Kuy; Kandh; Khondi; Khond(o); Kodu; Kanda; Kodulu
",,916222.0,,19.5908,83.9575,"Orissa (Phulbani, Koraput, Ganjam); also in Andhra Pradesh and Madhya Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1231,Khasi,khasi,jas,India,IND,kha,Vulnerable,,,912000.0,,25.691,91.8676,eastern half of Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1229,Bodo,bodo,bodo,India,IND,brx,Vulnerable,"Boro, Kachari",,900000.0,,26.7554,92.8674,"north bank of the Brahmaputra, Sonitpur and Darrang districts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
